Deliverable,Due Date,Owner,First Draft,Review Due,Final Copy,Dependencies,Risk,Comments on Risk
Design Plan,11/4/2012,Eli,11/4/2012,11/4/2012,11/5/2012,-,-,-
Component Specification,~11/11/2012,Whole Team Individually,11/6/2012,11/9/2012,11/9/2012,Design Plan,We could choose a larger component than we should.,High risk. Rely on architecture for estimation of work required for various components.
Component Design,~11/18/2012,Whole Team Individually,11/11/2012,11/13/2012,11/16/2012,Component Specification,Under specify the intended component.,Medium risk. This will be caught by the design review process.
Component Testing,~11/18/2012,Whole Team Individually,11/13/2012,11/13/2012,11/16/2012,Component Design,Tests miss cases or don't test all requirements.,Medium risk. The requirements specification from project 1 will help us make sure that we have comprehensive tests.
Review Notes,~11/25/2012,Whole Team,11/17/2012,11/18/2012,11/18/2012,Component Testing,Fail to understand group members' design.,Medium risk. Communicate confusion in order to better understand the design.
Review Report,~11/25/2012,Whole Team,11/20/2012,11/23/2012,11/23/2012,Review Notes,Fail to summarize the design review.,Low risk. Take good notes during design review.
Final Specification,12/2/2012,Whole Team Individually,11/25/2012,11/27/2012,11/30/2012,Review Report,Fail to fix issues raised in the design review.,Medium risk. Group members will briefly review each design a second time.
Post Mortem,12/2/2012,Michael,11/30/2012,11/30/2012,12/1/2012,Final Specification,Unwilling to give accurate feedback,Low risk. Avoid pointing fingers. Acknowledge that the purpose is to reflect and improve
,,,,,,,,
We will meet after class every Tuesday to check in and discuss the next deliverable.,,,,,,,,Yellow dates have been changed from the original plan
"We will also meet on either Friday, Saturday, or Sunday of each week to work on the next deliverable as a group",,,,,,,,Red dates are due dates that were not met.
"If anything goes wrong, email will be sent that day regarding the issue.",,,,,,,,
We will each check our email around noon each day for any status updates,,,,,,,,
,,,,,,,,
Management Updates,,,,,,,,
11/4/2012,"Eli forgot to submit the design plan, so it was submitted a day late.",,,,,,,
